,Atlanta,bell,chicago,denver,indiana,ny,sf,seattle,ranch,dallas,,,2.18179866,1.82622372,1.667832294,0.017374887,1.826244321,2.966902312,1.710262821,1.826229767,1.695760712,1.221186878
0,1.587742969,4.460074343,1.495316029,3.157877924,1.378612052,0.301063528,4.841654154,4.460081122,4.840905964,2.767168666,,,,,,,,,,,,
1,1.578349029,4.456280482,1.488745943,3.151247545,1.370872668,0.291627263,4.835677873,4.456287263,4.834770766,2.75844842,,,,,,,,,,,,
2,1.588129504,4.478518607,1.509128193,3.171522277,1.389186405,0.299334289,4.856717133,4.478525389,4.855644054,2.773556328,,,,,,,,,,,,
3,1.629112266,4.486015073,1.531188844,3.193832211,1.417893159,0.341458761,4.875427727,4.486021844,4.875211465,2.808596466,,,,,,,,,,,,
4,1.629803576,4.48859422,1.533350901,3.195993892,1.419725999,0.341900066,4.877729034,4.488600991,4.877482682,2.80999013,,,,,,,,,,,,
5,1.621321562,4.461518779,1.510134632,3.172745491,1.399742043,0.336758173,4.853145651,4.461525549,4.853182094,2.794313868,,,,,,,,,,,,
6,1.615478993,4.467000443,1.511703033,3.17434539,1.399182697,0.32957658,4.855811492,4.467007215,4.855608893,2.791495729,,,,,,,,,,,,
7,1.662789878,4.508077624,1.561169883,3.223765697,1.450392084,0.374487406,4.903634135,4.508084389,4.903831438,2.842573007,,,,,,,,,,,,
8,1.593663072,4.503601007,1.529918945,3.192045478,1.406585881,0.303908352,4.878657291,4.503607791,4.877257183,2.786091748,,,,,,,,,,,,
9,1.645248494,4.539212447,1.576510201,3.23899114,1.456839496,0.355597711,4.923276048,4.539219221,4.922470478,2.838542789,,,,,,,,,,,,
10,1.645925038,4.543040082,1.579573926,3.242024319,1.45935591,0.356380183,4.926552285,4.543046857,4.925691321,2.84028715,,,,,,,,,,,,
11,1.622297921,4.50871204,1.54499938,3.207508274,1.426325453,0.332715384,4.891656432,4.508718816,4.890859317,2.810539515,,,,,,,,,,,,
12,1.619626928,4.516560942,1.549698702,3.212093044,1.429111672,0.329873333,4.897142533,4.51656772,4.896134839,2.810926502,,,,,,,,,,,,
13,1.621099665,4.488245375,1.529529397,3.192153204,1.414280865,0.332819676,4.874765945,4.488252149,4.874315155,2.802954105,,,,,,,,,,,,
14,1.6237386,4.503358191,1.541655758,3.204219553,1.42421526,0.334418487,4.887787704,4.503364967,4.887124337,2.809961639,,,,,,,,,,,,
15,1.621156167,4.495812982,1.535088007,3.197678862,1.418495312,0.332233243,4.880900571,4.495819757,4.880312976,2.805463212,,,,,,,,,,,,
16,1.621358308,4.495415426,1.534878923,3.19747322,1.418396524,0.332471988,4.880641883,4.4954222,4.88006647,2.805494955,,,,,,,,,,,,
17,1.610090974,4.491715018,1.527620398,3.190148607,1.409610988,0.321081624,4.874172422,4.491721795,4.873391271,2.795327852,,,,,,,,,,,,
18,1.596671993,4.418855243,1.468697109,3.131231442,1.361239784,0.319800882,4.810755557,4.418862014,4.810951893,2.760345354,,,,,,,,,,,,
19,1.744866135,4.412293464,1.531755595,3.188263447,1.45382894,0.485763271,4.849975797,4.412300186,4.853808394,2.875535646,,,,,,,,,,,,
20,1.748809843,4.411439879,1.533115813,3.189305643,1.456074149,0.490418965,4.850440797,4.411446599,4.854380776,2.878365531,,,,,,,,,,,,
