,Atlanta,bell,chicago,denver,indiana,ny,sf,seattle,ranch,dallas
0,262.81033951314555,557.3449432837381,253.3326962917828,423.815118128904,241.365637036057,130.87165626987775,596.4729002695507,557.3456384552444,596.3961793245857,383.75100932015596
1,261.84706614116016,556.9559131708761,252.65898648254816,423.13522575976987,240.57202507611365,129.90404277403252,595.8600804769401,556.9566085567924,595.7670639148878,382.8568179330696
2,262.849975624874,559.236254986946,254.74902320824117,425.2142373133116,242.44995237125033,130.69433661482947,598.0174882515194,559.236950407969,597.9074525876533,384.4060129597808
3,267.0524299296709,560.0049575731035,257.01116641499505,427.501942610781,245.39360033229127,135.01386431302438,599.9361099705142,560.0056519058141,599.913934016716,387.9990988187354
4,267.1233182907608,560.2694285037461,257.23286805224865,427.7236056513507,245.58154340699184,135.05911656678956,600.172090558061,560.2701228545665,600.1468291875149,388.14200787228657
5,266.2535556296583,557.4930586528196,254.85222546923,425.3396681299122,243.53234859601412,134.5318565438724,597.6512613309599,557.4937528548813,597.6549982632055,386.5345326377226
6,265.6544469127008,558.0551593994655,255.0130523858647,425.503725031719,243.47499212936526,133.79544165192266,597.9246220029631,558.0558538583991,597.903847092138,386.24555507170356
7,270.50579963210066,562.2672957377358,260.08548216556653,430.57138207958957,248.7261050496066,138.40068760747226,602.8284514688551,562.2679893759116,602.8486833071274,391.483121247068
8,263.41739872099527,561.8082544862054,256.8809484420773,427.3187274221324,244.2341293584901,131.16337025522074,600.2672759021207,561.8089501094457,600.1237060466374,385.6914200689521
9,268.70707107222097,565.4599227204596,261.65850904444534,432.1326294645311,249.387235644988,136.46370047643467,604.8425724959352,565.4606173871263,604.7599677653691,391.0698546956173
10,268.77644519769586,565.8524160670696,261.97266948851063,432.44365769333257,249.64527375066177,136.5439367686071,605.178524403945,565.8531107735314,605.0902394208773,391.2487249482607
11,266.353673388567,562.3323499632806,258.42732641794225,428.9043134747351,246.2582645958645,134.11730089911003,601.6002338163983,562.3330448407377,601.5184960331003,388.1983429137383
12,266.07978448171355,563.1371921117388,258.90920433611745,429.37444489999734,246.54396909582275,133.82587129289126,602.1627896329057,563.1378871849911,602.0594586640759,388.23802534471633
13,266.23080183929886,560.2336572090948,256.84100346865876,427.3297738703836,245.02318848314135,134.12799516534162,599.8682495272913,560.234351815309,599.8220245756668,387.42051984169944
14,266.50140347716706,561.7833556412648,258.0844646961967,428.56708139520646,246.0418811961154,134.29194050062668,601.2035266961007,561.7840503958014,601.1355037304643,388.13908639433356
15,266.2365957121341,561.0096548352305,257.41099441842044,427.89638588219617,245.45534629756463,134.06786116978174,600.4973063831867,561.0103495528665,600.4370531508741,387.67780867525147
16,266.2573236360763,560.9688885770707,257.3895545292029,427.87529894436716,245.4452164051199,134.09234261870776,600.47077996561,560.9695832827804,600.4117760142731,387.6810637182715
17,265.10194866257893,560.5894413303753,256.64525083736635,427.12421845481157,244.54432997072422,132.9243518426491,599.8073884970622,560.5901363117986,599.7272877222756,386.6385085904136
18,263.72593946137795,553.1182543043191,250.60313893493483,421.08273456986166,239.58424997465335,132.79302207917215,593.3044962904171,553.118948633779,593.3246290260222,383.05133328322665
19,278.9220631665373,552.4453964205298,257.06928218437986,426.9309103846527,249.07852713526944,149.81113728811093,597.326218157308,552.4460856470591,597.7192203745598,394.86317625354343
20,279.3264589049618,552.3578680489816,257.2087616592281,427.0377792070972,249.30875543112535,150.28854151165604,597.3739001725592,552.3585571126702,597.7779134916981,395.15335824814633
