,Atlanta,Bellevue,Chicago,Dallas,Denver,Indianapolis,New York,San Francisco,Seattle,The Ranch,postal_code,state,latitude,longitude
0,123.3389691,346.4672698,116.1590643,214.9590566,245.3101134,107.0932718,23.38720176,376.1091335,346.4677965,376.0510125,01503-1716,Massachusetts,42.37313998,-71.62163001
1,122.6092295,346.1725553,115.6486871,214.2816509,244.7950526,106.4920613,22.65417429,375.6448843,346.1730821,375.5744184,01545-1666,Massachusetts,42.32484002,-71.69952999
2,123.3689959,347.9000562,117.2320201,215.4552626,246.3700333,107.9147082,23.25287109,377.279255,347.900583,377.1958962,01748-2814,Massachusetts,42.23590999,-71.49207999
3,126.5526167,348.4823962,118.9457344,218.1772488,248.1031125,110.1447048,26.52518225,378.7327304,348.4829222,378.7159308,01803-2318,Massachusetts,42.51621002,-71.21405997
4,126.6063191,348.6827495,119.1136872,218.2855114,248.2710361,110.2870834,26.55946365,378.9115004,348.6832755,378.8923633,01803-3742,Massachusetts,42.50218998,-71.19238001
5,125.9474197,346.5794764,117.3102022,217.0677487,246.465055,108.7346907,26.16003135,377.0018153,346.5800024,377.0046462,01886-1185,Massachusetts,42.63750998,-71.42823997
6,125.4935575,347.0053027,117.4320386,216.8488302,246.5893383,108.6912396,25.60215123,377.2089031,347.0058288,377.1931647,01886-4208,Massachusetts,42.54836002,-71.42147
7,129.1687593,350.1962582,121.27472,220.8166127,250.428404,112.6692846,29.09091178,380.9238592,350.1967838,380.9391861,01982-1862,Massachusetts,42.62536,-70.87552001
8,123.7988542,349.848506,118.8470862,216.4290385,247.9643155,109.2663333,23.60819327,378.9836092,349.8490329,378.8748461,02056-1661,Massachusetts,42.08716001,-71.29132997
9,127.8061104,352.614872,122.4663858,220.5035376,251.6111461,113.1701322,27.62352342,382.4496812,352.6153983,382.387103,02066-1643,Massachusetts,42.23531999,-70.76290001
10,127.8586656,352.9122101,122.7043819,220.6390429,251.8467693,113.3656121,27.68430741,382.7041858,352.9127365,382.6373044,02066-2920,Massachusetts,42.21047,-70.73371003
11,126.0232651,350.2455409,120.0185638,218.3281886,249.1654958,110.7997418,25.84597965,379.9934078,350.2460673,379.9314864,02126-1539,Massachusetts,42.28458999,-71.09640998
12,125.8157772,350.855259,120.3836163,218.3582505,249.5216495,111.0161807,25.62520357,380.4195789,350.8557855,380.3412992,02368-2048,Massachusetts,42.20093001,-71.05855999
13,125.9301823,348.6556505,118.8168254,217.7389393,247.972684,109.8640947,25.85408122,378.6813218,348.6561767,378.6463036,02421-7937,Massachusetts,42.43303002,-71.24283001
14,126.1351799,349.8296436,119.7588247,218.2832981,248.9100215,110.6358179,25.97828002,379.6928775,349.8301698,379.6413458,02446-6354,Massachusetts,42.33820999,-71.12467996
15,125.9345715,349.243517,119.248629,217.9338516,248.4019279,110.1914812,25.80852597,379.1578717,349.2440433,379.1122261,02472-1173,Massachusetts,42.37526002,-71.19053004
16,125.9502742,349.212634,119.232387,217.9363175,248.3859532,110.1838072,25.82707219,379.1377762,349.2131602,379.093077,02472-3032,Massachusetts,42.37999998,-71.19212998
17,125.0750057,348.925179,118.6685306,217.146517,247.816963,109.5013296,24.94224645,378.6352158,348.9257056,378.5745346,02481-3021,Massachusetts,42.31544998,-71.27999001
18,118.2075416,341.7200473,110.5748559,209.2838118,239.7106547,101.3434008,18.87323625,370.658233,341.7205747,370.5605641,1007,Massachusetts,42.289044,-72.4114897
19,116.5740338,340.152496,108.7490086,207.4468589,237.8783673,99.47013608,17.59927115,368.8699962,340.1530237,368.7603133,1027,Massachusetts,42.2656246,-72.6690696
20,116.3349138,342.0290653,110.0904951,207.9074316,239.1805083,100.4208962,16.71770668,370.3334993,342.0295931,370.1852679,1028,Massachusetts,42.065435,-72.51333
21,115.5656588,341.0654318,109.0616987,206.9666041,238.1515632,99.40897955,16.15574261,369.3079463,341.0659598,369.1581036,1030,Massachusetts,42.076355,-72.65461
22,117.5413958,340.113957,109.0982616,208.1984784,238.242561,100.024785,18.69223013,369.1353804,340.1144843,369.0495845,1038,Massachusetts,42.3691321,-72.6063039
23,116.5376797,340.7644139,109.2013171,207.6313637,238.3206052,99.80316305,17.33574752,369.3610927,340.7649416,369.2399176,1040,Massachusetts,42.20512,-72.61494
24,119.0176261,340.2666433,109.8025253,209.4196391,238.9580713,101.0019196,20.27834013,369.7132525,340.2671702,369.6602153,1054,Massachusetts,42.507715,-72.491095
25,117.001126,339.8391616,108.6774151,207.6748908,237.8175119,99.543673,18.19749885,368.7435668,339.8396891,368.6495434,1062,Massachusetts,42.338605,-72.66897
26,115.2755667,340.2662584,108.3384059,206.4596023,237.4374289,98.7712674,16.10975679,368.563602,340.2667863,368.4207238,1085,Massachusetts,42.12093,-72.748005
27,117.0034907,342.0046148,110.3255059,208.4284472,239.4332175,100.7970139,17.45994411,370.5200528,342.0051426,370.3883859,1095,Massachusetts,42.1372202,-72.468964
28,115.8559588,337.8113224,106.6851905,206.0518333,235.8310768,97.68889732,17.82447436,366.7200942,337.8118499,366.633255,1098,Massachusetts,42.4052,-72.937975
29,115.9649418,341.6514838,109.6617666,207.4848086,238.7498172,99.98476543,16.41705652,369.9106455,341.6520118,369.7601401,1106,Massachusetts,42.062665,-72.57342
30,116.794193,341.776382,110.0715608,208.1842806,239.1786147,100.5417468,17.29507226,370.2688658,341.7769099,370.1361664,1119,Massachusetts,42.136985,-72.504335
31,114.3626661,335.5634446,104.3788291,204.0616007,233.5275387,95.48851863,17.40374422,364.3999574,335.5639723,364.3151408,1201,Massachusetts,42.452555,-73.25375
32,114.998404,336.4591839,105.3152403,204.8885952,234.4633207,96.39125992,17.58429856,365.3380036,336.4597116,365.2534252,1235,Massachusetts,42.4382675,-73.1249005
33,111.7145074,336.3845331,103.9959645,202.2698864,233.0801656,94.39459002,14.00339583,364.2693259,336.3850615,364.1074836,1257,Massachusetts,42.109715,-73.35375
34,118.90483,339.9172111,109.4949287,209.207845,238.6511483,100.7357571,20.28902596,369.3909578,339.9177382,369.3412128,1351,Massachusetts,42.52806,-72.531695
35,123.4806989,344.4525068,114.7313424,214.3959148,243.8885422,106.058306,23.92733364,374.5118658,344.4530332,374.4930629,1420,Massachusetts,42.5816232,-71.7947309
36,123.0990105,343.4843879,113.8616924,213.7640851,243.0178767,105.2896428,23.75447915,373.6033049,343.4849141,373.5923403,1430,Massachusetts,42.63315,-71.910565
37,124.590093,345.8824297,116.238121,215.7574261,245.3953984,107.5237492,24.82704397,376.0181954,345.8829559,376.0007497,1432,Massachusetts,42.561545,-71.586625
