postal_code,state,latitude,longitude,Atlanta,Bellevue,Chicago,Dallas,Denver,Indianapolis,New York,San Francisco,Seattle,The Ranch
01503-1716,Massachusetts,42.37313998,-71.62163001,873.2601089,2453.045035,822.4252063,1521.945339,1736.835794,758.2379102,165.5852202,2662.914286,2453.048764,2662.50278
01545-1666,Massachusetts,42.32484002,-71.69952999,868.0934333,2450.958408,818.8116526,1517.149196,1733.189079,753.9812416,160.3952656,2659.627326,2450.962138,2659.128416
01748-2814,Massachusetts,42.23590999,-71.49207999,873.4727037,2463.189397,830.0219093,1525.458559,1744.340201,764.0538144,164.634137,2671.198938,2463.193127,2670.608744
01803-2318,Massachusetts,42.51621002,-71.21405997,896.0132605,2467.31246,842.1552875,1544.730667,1756.610685,779.8425557,187.8026362,2681.489782,2467.316184,2681.370838
01803-3742,Massachusetts,42.50218998,-71.19238001,896.3934819,2468.730994,843.3444208,1545.497184,1757.799612,780.8506194,188.0453541,2682.755503,2468.734718,2682.620009
01886-1185,Massachusetts,42.63750998,-71.42823997,891.7283664,2453.839476,830.5754517,1536.875225,1745.01297,769.859425,185.217308,2669.23462,2453.8432,2669.254663
01886-4208,Massachusetts,42.54836002,-71.42147,888.514948,2456.854396,831.4380734,1535.325246,1745.892916,769.5517842,181.2674253,2670.700835,2456.858121,2670.589405
01982-1862,Massachusetts,42.62536,-70.87552001,914.5359785,2479.446884,858.6448871,1563.417796,1773.07413,797.7169944,205.9684216,2697.003333,2479.450605,2697.11185
02056-1661,Massachusetts,42.08716001,-71.29132997,876.5161711,2476.984741,841.4568419,1532.353052,1755.62798,773.6235419,167.1498763,2683.266045,2476.988472,2682.495985
02066-1643,Massachusetts,42.23531999,-70.76290001,904.8882012,2496.571066,867.0820762,1561.201173,1781.448138,801.2630774,195.5790716,2707.806403,2496.574792,2707.363339
02066-2920,Massachusetts,42.21047,-70.73371003,905.2603008,2498.676268,868.7671276,1562.160573,1783.116389,802.6471073,196.0094322,2709.608337,2498.679995,2709.134806
02126-1539,Massachusetts,42.28458999,-71.09640998,892.2653646,2479.795813,849.7510953,1545.799346,1764.132533,784.4803251,182.9937705,2690.415585,2479.79954,2689.977171
02368-2048,Massachusetts,42.20093001,-71.05855999,890.7963162,2484.112717,852.335727,1546.012189,1766.65416,786.0127483,181.4306397,2693.432946,2484.116445,2692.878713
02421-7937,Massachusetts,42.43303002,-71.24283001,891.6063227,2468.539129,841.2425905,1541.627364,1755.68723,777.8557907,183.0511309,2681.125801,2468.542854,2680.877866
02446-6354,Massachusetts,42.33820999,-71.12467996,893.0577393,2476.851192,847.9120999,1545.481514,1762.323733,783.319717,183.9304788,2688.287781,2476.854918,2687.922928
02472-1173,Massachusetts,42.37526002,-71.19053004,891.6373991,2472.70132,844.299831,1543.007375,1758.726347,780.1737404,182.7285923,2684.499852,2472.705046,2684.176674
02472-3032,Massachusetts,42.37999998,-71.19212998,891.7485768,2472.482663,844.1848346,1543.024834,1758.613244,780.119407,182.8599026,2684.357573,2472.486389,2684.041095
02481-3021,Massachusetts,42.31544998,-71.27999001,885.5515325,2470.447435,840.192639,1537.432917,1754.5847,775.287354,176.5951914,2680.799363,2470.451163,2680.36973
03071-0121,New Hampshire,42.75126,-71.86673002,878.1710802,2430.374491,807.7847752,1518.192511,1722.180204,748.6831469,175.8907826,2645.920028,2430.378216,2646.028014
03818-7135,New Hampshire,44.00252999,-71.14183001,959.6779961,2426.765507,842.467001,1581.547279,1753.54786,799.6072684,267.1702504,2667.491197,2426.769204,2669.599129
03860-2395,New Hampshire,44.04060001,-71.12828997,961.8470393,2426.296034,843.2151222,1583.103718,1754.121068,800.8421358,269.7308867,2667.746947,2426.29973,2669.913939
05602-9406,Vermont,44.34080998,-72.64408004,918.9765163,2349.232452,769.356759,1521.259883,1678.576294,733.4900109,256.9750193,2590.445026,2349.236152,2592.845271
06019-3406,Connecticut,41.82763998,-72.93601997,796.4442443,2409.55789,760.104576,1446.311694,1673.458786,688.1956419,91.95704005,2603.730505,2409.561633,2602.235874
06901-2354,Connecticut,41.05462998,-73.54073003,740.1722133,2406.069224,738.6940235,1400.605043,1648.467979,655.5024859,31.07919215,2583.28075,2406.072978,2580.48119
07020-1571,New Jersey,40.80830999,-73.99047001,711.1878164,2393.205965,719.5959324,1373.255706,1627.409309,632.3826289,3.703042138,2563.672562,2393.209723,2560.396263
07306-6409,New Jersey,40.73456998,-74.07220002,704.7814798,2391.809495,716.6558185,1367.711684,1623.857423,628.2886253,4.800502017,2560.507368,2391.813253,2557.099476
07310-1048,New Jersey,40.73423001,-74.04572997,705.9132524,2393.044868,718.0062668,1369.034643,1625.233606,629.6743243,3.508644683,2561.869486,2393.048626,2558.467049
07310-1563,New Jersey,40.72980001,-74.03380998,706.2571838,2393.739631,718.6858436,1369.547327,1625.893549,630.3100264,3.109551894,2562.542511,2393.743389,2559.135967
07452-3412,New Jersey,40.95349,-74.12460996,711.190566,2382.334258,710.4826271,1369.440375,1619.156514,625.1449235,15.55215113,2554.81455,2382.338015,2551.731775
07605-1911,New Jersey,40.86164999,-73.99050002,713.2760807,2391.484871,718.7385342,1374.304811,1626.919807,632.2750002,7.381984258,2562.934254,2391.488628,2559.739832
07747-1976,New Jersey,40.38519998,-74.21522001,685.1336203,2396.576695,715.625255,1353.834551,1619.857333,622.1828527,28.26877694,2558.103681,2396.580456,2554.126577
08536-1625,New Jersey,40.34670001,-74.59057002,667.2044554,2380.45207,697.3768808,1334.097751,1600.708941,602.6882997,42.51858249,2539.323718,2380.455833,2535.199351
08550-3001,New Jersey,40.29310998,-74.58300996,665.4666248,2382.563352,698.8065656,1333.465264,1601.653162,603.3879924,44.78942902,2540.479258,2382.567116,2536.273946
08904-2326,New Jersey,40.49970998,-74.43230997,680.0330493,2382.775449,702.4993135,1345.028212,1607.411986,610.2465159,29.36514068,2545.302775,2382.779211,2541.451289
10001,New York,40.750955,-73.99811,708.6244601,2394.70611,720.1476802,1371.752023,1627.546416,632.1208029,0.762348248,2564.077979,2394.709869,2560.711958
10001-6354,New York,40.74511002,-73.99112003,708.7004899,2395.218524,720.5998104,1371.989534,1627.96375,632.5018293,0.760106205,2564.517836,2395.222282,2561.144428
10002,New York,40.716475,-73.98845,707.7081405,2396.269293,721.2133908,1371.568901,1628.3723,632.7207641,2.663299105,2565.054847,2396.273052,2561.638132
10003,New York,40.73236,-73.98909,708.2945972,2395.725154,720.9151343,1371.844177,1628.189006,632.642551,1.57609037,2564.799912,2395.728912,2561.407409
10003-4209,New York,40.73174,-73.98332997,708.5204545,2396.011637,721.2181328,1372.121643,1628.493608,632.9455988,1.601782315,2565.103921,2396.015395,2561.711771
10003-4514,New York,40.73084,-73.99533998,707.9647064,2395.485303,720.6229516,1371.500624,1627.879165,632.3197761,1.756758763,2564.500673,2395.489062,2561.104425
10004,New York,40.7040274,-74.012205,706.195765,2395.573921,720.2160613,1370.133843,1627.25795,631.5140151,3.802674665,2564.010748,2395.577679,2560.569558
10005,New York,40.705495,-74.007965,706.4365811,2395.722475,720.4066908,1370.375425,1627.463999,631.7315658,3.628100782,2564.207676,2395.726234,2560.769699
10005-1407,New York,40.70758001,-74.00987001,706.4344463,2395.566776,720.2747967,1370.31993,1627.345383,631.6257509,3.529179782,2564.080778,2395.570535,2560.645566
10006,New York,40.708935,-74.01317,706.3435841,2395.370217,720.0843534,1370.1802,1627.161332,631.4491048,3.512868081,2563.892558,2395.373976,2560.458676
10006-2278,New York,40.70797002,-74.01453999,706.2468053,2395.338121,720.0310108,1370.092651,1627.099405,631.3802341,3.603980676,2563.835795,2395.34188,2560.400123
10007,New York,40.714095,-74.00949,706.7028599,2395.373224,720.1845097,1370.465054,1627.303365,631.6267048,3.108263084,2564.009107,2395.376982,2560.583974
10009,New York,40.727215,-73.97888,708.5385758,2396.363998,721.5197686,1372.257707,1628.76713,633.1909951,1.935809262,2565.395354,2396.367756,2561.997273
10010,New York,40.739165,-73.982905,708.8262395,2395.790891,721.1160339,1372.286898,1628.445692,632.9475116,1.090813214,2565.021992,2395.794649,2561.641323
10011,New York,40.74127,-74.001425,708.1051043,2394.866202,720.1400033,1371.397256,1627.465388,631.9730447,1.292866655,2564.043069,2394.869961,2560.661442
10011-1459,New York,40.74659001,-74.00141996,708.3117095,2394.694264,720.0518742,1371.500892,1627.415696,631.959142,1.055213818,2563.969133,2394.698022,2560.595669
10012,New York,40.725825,-73.99787,707.660852,2395.530695,720.5782028,1371.276289,1627.795248,632.2013647,2.127515703,2564.441011,2395.534454,2561.0365
10012-1594,New York,40.72678999,-73.99621002,707.7702023,2395.57622,720.6464027,1371.378416,1627.872243,632.2855132,2.036867081,2564.512648,2395.579978,2561.109992
10013,New York,40.72033,-74.0055647,707.1144057,2395.352782,720.2792868,1370.783088,1627.448014,631.8142636,2.630969278,2564.123227,2395.35654,2560.708546
10014,New York,40.73388,-74.00543,707.6450343,2394.920191,720.0595845,1371.052549,1627.327178,631.7835553,1.819236513,2563.940844,2394.923949,2560.546977
10014-1520,New York,40.73883,-74.00872001,707.6944196,2394.607779,719.8099442,1370.983364,1627.109971,631.5979992,1.685119163,2563.703074,2394.611538,2560.316056
10016,New York,40.74564,-73.97791,709.2935341,2395.812321,721.2622618,1372.663465,1628.643847,633.1914028,0.727464552,2565.187692,2395.816079,2561.818081
10017,New York,40.75192,-73.973605,709.7234072,2395.808195,721.3769396,1373.001629,1628.808131,633.399991,0.606924586,2565.320768,2395.811953,2561.961758
10018,New York,40.75708,-73.99917,708.8164182,2394.458945,719.9924448,1371.81798,1627.434095,632.0495043,0.781822379,2563.938304,2394.462703,2560.58144
10019,New York,40.76615,-73.987495,709.6740498,2394.705553,720.4360923,1372.580843,1627.954709,632.637093,0.792460202,2564.410479,2394.709311,2561.07016
10021,New York,40.770765,-73.96196,710.9585101,2395.737194,721.6579364,1373.952749,1629.235566,633.9609085,1.610413455,2565.655016,2395.740952,2562.327528
10022,New York,40.759375,-73.96751,710.2764227,2395.848886,721.5634525,1373.452574,1629.054306,633.6994378,0.941820708,2565.529248,2395.852644,2562.183044
10023,New York,40.77568,-73.98263,710.2549327,2394.622443,720.5266689,1373.01083,1628.118083,632.867953,1.438744303,2564.527234,2394.626201,2561.202629
10024,New York,40.78613,-73.975415,710.9733761,2394.618385,720.7222549,1373.576862,1628.394934,633.2201279,2.209274504,2564.75172,2394.622143,2561.444768
10025,New York,40.797525,-73.9687,711.7071353,2394.560811,720.8777812,1374.136417,1628.637334,633.5447297,3.058709023,2564.93755,2394.564569,2561.649586
10025-6231,New York,40.7957,-73.97278998,711.4593512,2394.430629,720.6995754,1373.89555,1628.442238,633.3350903,2.884566247,2564.753317,2394.434387,2561.461634
10026,New York,40.802,-73.953295,712.5470212,2395.128616,721.588174,1374.996709,1629.394373,634.3398752,3.640784187,2565.664732,2395.132374,2562.387089
10027,New York,40.81154,-73.9539,712.8923413,2394.792647,721.4027996,1375.152935,1629.274838,634.2870559,4.228081307,2565.501363,2394.796405,2562.238215
10028,New York,40.777865,-73.95678,711.4582866,2395.747205,721.8047076,1374.351013,1629.43789,634.2143053,2.149946208,2565.821646,2395.750963,2562.50621
10029,New York,40.791375,-73.94481,712.5008366,2395.864131,722.1923594,1375.215053,1629.932697,634.8078789,3.26566711,2566.247101,2395.867888,2562.955073
10030,New York,40.818465,-73.94331,713.619473,2395.05879,721.8293484,1375.819569,1629.759778,634.8255702,4.891947698,2565.947844,2395.062548,2562.697691
10031,New York,40.824725,-73.94798,713.6618805,2394.640891,721.4910381,1375.708051,1629.460143,634.5682605,5.188770282,2565.621882,2394.644648,2562.380283
10032,New York,40.83752,-73.94245,714.3997453,2394.48389,721.566823,1376.236282,1629.629206,634.8310648,6.117407221,2565.728002,2394.487647,2562.507266
10033,New York,40.8502349,-73.9358581,715.1806089,2394.378762,721.6989521,1376.816448,1629.854384,635.1506303,7.061060278,2565.889779,2394.382519,2562.690017
10034,New York,40.86702,-73.919915,716.5237557,2394.575005,722.2432955,1377.945389,1630.527239,635.9523941,8.450864229,2566.474303,2394.578762,2563.303841
10035,New York,40.7954267,-73.9211856,713.6804344,2396.825594,723.327344,1376.4796,1631.119596,636.0334772,4.337832935,2567.401221,2396.829352,2564.120715
10036,New York,40.7586,-73.98707,709.3992322,2394.969375,720.5822224,1372.455191,1628.047313,632.6784443,0.288275201,2564.537402,2394.973133,2561.185598
10037,New York,40.813145,-73.937345,713.6699883,2395.506285,722.2185268,1376.01463,1630.117979,635.1488372,4.720258484,2566.327194,2395.510042,2563.07022
10038,New York,40.709915,-74.00454,706.7560912,2395.737642,720.5062403,1370.633082,1627.599761,631.8978369,3.280675658,2564.321467,2395.741401,2560.891046
10038-4866,New York,40.70741999,-74.00708001,706.5493912,2395.701017,720.4192137,1370.457131,1627.491647,631.772218,3.487257885,2564.226117,2395.704775,2560.791293
